agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,headphones,29,0.5517241379310345,0.5517241379310345,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,jacket,21,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,keys,16,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,medication_bottle,20,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,mug,34,0.3235294117647059,0.35294117647058826,-0.02941176470588236,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,phone,16,0.9375,0.9375,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,plate,19,0.5789473684210527,0.5789473684210527,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,remote,17,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,umbrella,20,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,wallet,26,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,water_bottle,17,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,3,28,0.7857142857142857,0.7436974789915967,0.04201680672268904,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,4,28,0.6785714285714286,0.6092436974789915,0.06932773109243706,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,5,28,0.6071428571428571,0.5294117647058824,0.07773109243697474,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,6,28,0.7857142857142857,0.6764705882352942,0.10924369747899154,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,7,28,0.6071428571428571,0.6281512605042017,-0.021008403361344574,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,8,28,0.8214285714285714,0.7899159663865546,0.031512605042016806,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,9,28,0.8214285714285714,0.8214285714285714,0.0,0.0,0.0
