stratum,pred_half,n_objects,n_probes,b3_acc,b3_lo,b3_hi,b2_acc,b2_lo,b2_hi,lead
dynamic,low,6,3481,0.33697213444412527,0.20652767224075064,0.45475848994293794,0.31858661304222924,0.261515651235023,0.3690585045719202,0.018385521401896032
dynamic,high,5,3020,0.5466887417218543,0.2643365164749977,0.8760242251514072,0.37317880794701985,0.32589285714285715,0.40602189781021897,0.17350993377483448
occasional,low,6,1970,0.36852791878172586,0.18998272884283246,0.5517075517075517,0.4,0.26890594837261506,0.5588487972508591,-0.03147208121827416
occasional,high,6,1014,0.17258382642998027,0.035939608023153616,0.3749452314733751,0.2583826429980276,0.143796992481203,0.3993559660863154,-0.08579881656804733
