start,stop,duration_min,where,activity_code,activity,location_imputed
04:00,05:00,60,home/yard,010101,Sleeping,False
05:00,05:15,15,home/yard,120101,Socializing with others,False
05:15,05:25,10,home/yard,020602,Household activities (detail n.e.c.),False
05:25,05:35,10,home/yard,020203,Kitchen and food clean-up,False
05:35,06:30,55,home/yard,120303,Television and movies (not religious),False
06:30,06:40,10,home/yard,020201,Food and drink preparation,False
06:40,06:50,10,home/yard,020104,Storing interior items,False
06:50,07:00,10,home/yard,020101,Interior cleaning,False
07:00,07:10,10,home/yard,020902,Household organization and planning,False
07:10,07:20,10,home/yard,020902,Household organization and planning,False
07:20,07:22,2,home/yard,020903,Household activities (detail n.e.c.),False
07:22,08:22,60,home/yard,120312,Reading for personal interest,False
08:22,08:27,5,home/yard,020203,Kitchen and food clean-up,False
08:27,08:32,5,home/yard,010201,"Washing, dressing, grooming",False
08:32,10:07,95,out_of_house,,Out of house,False
10:07,10:17,10,home/yard,020104,Storing interior items,False
10:17,10:32,15,home/yard,020101,Interior cleaning,False
10:32,10:42,10,home/yard,020102,Laundry,False
10:42,11:02,20,home/yard,020101,Interior cleaning,False
11:02,11:32,30,home/yard,020101,Interior cleaning,False
11:32,11:42,10,home/yard,020201,Food and drink preparation,False
11:42,12:02,20,home/yard,110101,Eating and drinking,False
12:02,12:07,5,home/yard,020102,Laundry,False
12:07,12:17,10,home/yard,160101,Telephone calls to/from family,False
12:17,12:47,30,home/yard,020501,"Lawn, garden, houseplants",False
12:47,12:57,10,home/yard,020102,Laundry,False
12:57,13:17,20,home/yard,020602,Household activities (detail n.e.c.),False
13:17,13:37,20,home/yard,020401,Exterior cleaning,False
13:37,16:27,170,home/yard,120303,Television and movies (not religious),False
16:27,16:30,3,home/yard,020102,Laundry,False
16:30,16:40,10,home/yard,120101,Socializing with others,False
16:40,17:00,20,home/yard,120303,Television and movies (not religious),False
17:00,18:00,60,home/yard,020201,Food and drink preparation,False
18:00,18:15,15,home/yard,120303,Television and movies (not religious),False
18:15,18:30,15,home/yard,110101,Eating and drinking,False
18:30,19:00,30,home/yard,120303,Television and movies (not religious),False
19:00,19:30,30,out_of_house,,Out of house,False
19:30,19:50,20,home/yard,030401,Caring for household members (detail n.e.c.),False
19:50,20:10,20,home/yard,020203,Kitchen and food clean-up,False
20:10,20:13,3,home/yard,020602,Household activities (detail n.e.c.),False
20:13,20:15,2,home/yard,020101,Interior cleaning,False
20:15,20:30,15,home/yard,020602,Household activities (detail n.e.c.),False
20:30,22:00,90,home/yard,120303,Television and movies (not religious),False
22:00,22:05,5,home/yard,020602,Household activities (detail n.e.c.),False
22:05,22:10,5,home/yard,020905,Household activities (detail n.e.c.),False
22:10,22:25,15,home/yard,120307,Playing games,False
22:25,04:00,335,home/yard,010101,Sleeping,False
