start,stop,duration_min,where,activity_code,activity,location_imputed
04:00,06:30,150,home/yard,010101,Sleeping,False
06:30,06:32,2,home/yard,140102,Participation in religious practices,False
06:32,06:42,10,home/yard,140102,Participation in religious practices,False
06:42,07:10,28,home/yard,010201,"Washing, dressing, grooming",False
07:10,07:45,35,out_of_house,,Out of house,False
07:45,07:50,5,home/yard,030112,Caring for household members (detail n.e.c.),False
07:50,08:31,41,out_of_house,,Out of house,False
08:31,09:00,29,home/yard,020201,Food and drink preparation,False
09:00,10:15,75,home/yard,050101,"Work, main job",False
10:15,10:30,15,home/yard,120301,"Relaxing, thinking",False
10:30,12:45,135,home/yard,050101,"Work, main job",False
12:45,13:15,30,home/yard,110101,Eating and drinking,False
13:15,15:30,135,home/yard,050101,"Work, main job",False
15:30,15:45,15,home/yard,120301,"Relaxing, thinking",False
15:45,17:50,125,home/yard,050101,"Work, main job",False
17:50,18:00,10,home/yard,120301,"Relaxing, thinking",False
18:00,19:30,90,home/yard,120101,Socializing with others,False
19:30,19:55,25,home/yard,070103,Purchasing food (not groceries),False
19:55,20:07,12,out_of_house,,Out of house,False
20:07,20:22,15,home/yard,110101,Eating and drinking,False
20:22,20:37,15,home/yard,140101,Attending religious services,False
20:37,21:22,45,home/yard,120101,Socializing with others,False
21:22,22:07,45,home/yard,120312,Reading for personal interest,False
22:07,22:22,15,home/yard,160102,Telephone calls to/from friends/neighbors,False
22:22,22:47,25,home/yard,010201,"Washing, dressing, grooming",False
22:47,22:57,10,home/yard,010301,Health-related self care,False
22:57,00:15,78,home/yard,120307,Playing games,False
00:15,04:00,225,home/yard,010101,Sleeping,False
