start,stop,duration_min,where,activity_code,activity,location_imputed
04:00,06:30,150,home/yard,010101,Sleeping,False
06:30,06:40,10,home/yard,500101,Insufficient detail in verbatim,False
06:40,06:45,5,home/yard,120308,Computer use for leisure,False
06:45,06:50,5,home/yard,020602,Household activities (detail n.e.c.),False
06:50,06:55,5,home/yard,010201,"Washing, dressing, grooming",False
06:55,07:00,5,home/yard,020201,Food and drink preparation,False
07:00,07:15,15,home/yard,020602,Household activities (detail n.e.c.),False
07:15,07:30,15,home/yard,020201,Food and drink preparation,False
07:30,07:45,15,home/yard,030101,Physical care for household children,False
07:45,08:00,15,home/yard,120101,Socializing with others,False
08:00,08:15,15,home/yard,020203,Kitchen and food clean-up,False
08:15,08:30,15,home/yard,020602,Household activities (detail n.e.c.),False
08:30,08:45,15,home/yard,020102,Laundry,False
08:45,09:00,15,home/yard,020101,Interior cleaning,False
09:00,09:15,15,home/yard,020102,Laundry,False
09:15,09:30,15,home/yard,030103,Reading to/with household children,False
09:30,09:45,15,home/yard,160102,Telephone calls to/from friends/neighbors,False
09:45,10:15,30,home/yard,500101,Insufficient detail in verbatim,False
10:15,10:30,15,home/yard,160101,Telephone calls to/from family,False
10:30,10:38,8,home/yard,010201,"Washing, dressing, grooming",False
10:38,10:45,7,home/yard,020102,Laundry,False
10:45,10:55,10,home/yard,020903,Household activities (detail n.e.c.),False
10:55,11:15,20,home/yard,020603,Household activities (detail n.e.c.),False
11:15,11:45,30,home/yard,020101,Interior cleaning,False
11:45,12:05,20,out_of_house,,Out of house,False
12:05,12:20,15,home/yard,110101,Eating and drinking,False
12:20,12:50,30,home/yard,150202,Volunteering (detail n.e.c.),False
12:50,13:05,15,home/yard,020902,Household organization and planning,False
13:05,13:20,15,home/yard,020602,Household activities (detail n.e.c.),False
13:20,19:20,360,out_of_house,,Out of house,False
19:20,19:35,15,home/yard,020902,Household organization and planning,False
19:35,19:50,15,home/yard,020104,Storing interior items,False
19:50,20:20,30,home/yard,020102,Laundry,False
20:20,20:35,15,home/yard,030106,Caring for household members (detail n.e.c.),False
20:35,20:50,15,home/yard,030108,Caring for household members (detail n.e.c.),False
20:50,21:05,15,home/yard,030102,Caring for household members (detail n.e.c.),False
21:05,21:20,15,home/yard,020602,Household activities (detail n.e.c.),False
21:20,21:35,15,home/yard,030103,Reading to/with household children,False
21:35,21:50,15,home/yard,020203,Kitchen and food clean-up,False
21:50,22:05,15,home/yard,020102,Laundry,False
22:05,22:20,15,home/yard,010201,"Washing, dressing, grooming",False
22:20,22:35,15,home/yard,120307,Playing games,False
22:35,22:50,15,home/yard,120303,Television and movies (not religious),False
22:50,23:05,15,home/yard,020902,Household organization and planning,False
23:05,04:00,295,home/yard,010101,Sleeping,False
