belief,policy,budget,room_change_cost,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,cost_per_question,cost_per_day,same_room_sense_fraction,forced_answer_rate,median_ess
LastObservation,VoIBudgetPriceSense_gamma0.1,24,0.5,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.637644,0.622974,0.2172,19.548,0.253089,22.778,0.669531,0.039778,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,1,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.634578,0.619482,0.195556,17.6,0.257422,23.168,0.683636,0.011822,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,2,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.625956,0.611654,0.162844,14.656,0.254311,22.888,0.719159,0.014933,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,0,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.705467,0.671071,0.815289,73.376,0.815289,73.376,0.328118,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,0.25,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.704756,0.670225,0.782978,70.468,0.842078,75.787,0.698076,0.108978,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,0.5,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.701511,0.668204,0.741556,66.74,0.851756,76.658,0.702787,0.066756,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,1,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.6936,0.66163,0.659378,59.344,0.851156,76.604,0.709153,0.012356,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,2,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.682356,0.652783,0.5516,49.644,0.852489,76.724,0.727258,0.020311,
LastObservation,VoIThresholdSense_lambda0.01,24,0,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.630978,0.617374,0.204622,18.416,0.204622,18.416,0.635534,0.0,
LastObservation,VoIThresholdSense_lambda0.01,24,0.25,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.627778,0.614201,0.188667,16.98,0.202711,18.244,0.702238,0.032667,
LastObservation,VoIThresholdSense_lambda0.01,24,0.5,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.623867,0.611935,0.180622,16.256,0.207044,18.634,0.707431,0.0128,
LastObservation,VoIThresholdSense_lambda0.01,24,1,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.620267,0.608942,0.160978,14.488,0.207778,18.7,0.709277,0.002489,
LastObservation,VoIThresholdSense_lambda0.01,24,2,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.616267,0.605144,0.131956,11.876,0.207511,18.676,0.713708,0.003467,
LastObservation,VoIThresholdSense_lambda0.01,90,0,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.676622,0.644475,0.587867,52.908,0.587867,52.908,0.369396,0.0,
LastObservation,VoIThresholdSense_lambda0.01,90,0.25,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.673511,0.640995,0.537067,48.336,0.575611,51.805,0.712926,0.0188,
LastObservation,VoIThresholdSense_lambda0.01,90,0.5,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.674444,0.640852,0.489733,44.076,0.558133,50.232,0.720664,0.009378,
LastObservation,VoIThresholdSense_lambda0.01,90,1,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.673733,0.639857,0.428844,38.596,0.547111,49.24,0.72422,0.0008,
LastObservation,VoIThresholdSense_lambda0.01,90,2,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.665822,0.636228,0.3584,32.256,0.547467,49.272,0.736235,0.001111,
OracleBelief,NeverSense,24,0,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,24,0.25,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,24,0.5,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,24,1,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,24,2,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,90,0,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,90,0.25,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,90,0.5,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,90,1,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,NeverSense,90,2,"OracleBelief(eps=0.4,hl=12h)",NeverSense,10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,ResolvableMassSense_best,24,0,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,ResolvableMassSense_best,24,0.25,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,ResolvableMassSense_best,24,0.5,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,ResolvableMassSense_best,24,1,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,ResolvableMassSense_best,24,2,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.758089,0.757315,0.0,0.0,0.0,0.0,,0.0,33.243
OracleBelief,ResolvableMassSense_best,90,0,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.783867,0.758366,0.073956,6.656,0.073956,6.656,0.220553,0.0,9.147
OracleBelief,ResolvableMassSense_best,90,0.25,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.783867,0.758366,0.073956,6.656,0.088367,7.953,0.220553,0.0,9.147
OracleBelief,ResolvableMassSense_best,90,0.5,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.783867,0.758366,0.073956,6.656,0.102778,9.25,0.220553,0.0,9.147
OracleBelief,ResolvableMassSense_best,90,1,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.783867,0.758366,0.073956,6.656,0.1316,11.844,0.220553,0.0,9.147
OracleBelief,ResolvableMassSense_best,90,2,"OracleBelief(eps=0.4,hl=12h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.783867,0.758366,0.073956,6.656,0.189244,17.032,0.220553,0.0,9.147
OracleBelief,SequentialSearch,24,0,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.755422,0.724365,0.266667,24.0,0.266667,24.0,0.368167,0.0,2.879
OracleBelief,SequentialSearch,24,0.25,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.752844,0.727707,0.227511,20.476,0.262989,23.669,0.376245,0.576844,3.21
OracleBelief,SequentialSearch,24,0.5,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.752178,0.728986,0.202222,18.2,0.264511,23.806,0.383956,0.370356,3.412
OracleBelief,SequentialSearch,24,1,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.754356,0.732932,0.165822,14.924,0.266667,24.0,0.391852,0.038667,4.166
OracleBelief,SequentialSearch,24,2,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.750978,0.735981,0.125156,11.264,0.266667,24.0,0.434659,0.076444,4.912
OracleBelief,SequentialSearch,90,0,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.786578,0.722722,1.0,90.0,1.0,90.0,0.278978,0.0,1.362
OracleBelief,SequentialSearch,90,0.25,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.780933,0.721974,0.847111,76.24,0.996656,89.699,0.293861,0.4756,1.487
OracleBelief,SequentialSearch,90,0.5,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.778089,0.722146,0.740889,66.68,0.997889,89.81,0.306239,0.3228,1.654
OracleBelief,SequentialSearch,90,1,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.772267,0.721094,0.597556,53.78,1.0,90.0,0.326515,0.053911,1.818
OracleBelief,SequentialSearch,90,2,"OracleBelief(eps=0.4,hl=12h)",SequentialSearch,10,22500,0.764267,0.722317,0.439556,39.56,1.0,90.0,0.362487,0.082044,2.099
OracleBelief,VoIBudgetPriceSense_gamma0.1,24,0,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.776578,0.732399,0.262267,23.604,0.262267,23.604,0.35638,0.0,2.57
OracleBelief,VoIBudgetPriceSense_gamma0.1,24,0.25,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.776844,0.740942,0.181822,16.364,0.205589,18.503,0.477145,0.086578,3.714
OracleBelief,VoIBudgetPriceSense_gamma0.1,24,0.5,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.773778,0.739378,0.1792,16.128,0.223333,20.1,0.50744,0.084978,3.549
OracleBelief,VoIBudgetPriceSense_gamma0.1,24,1,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.754178,0.729499,0.179422,16.148,0.266667,24.0,0.513748,0.0192,3.273
OracleBelief,VoIBudgetPriceSense_gamma0.1,24,2,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.751244,0.734761,0.142222,12.8,0.266667,24.0,0.5625,0.033556,4.094
OracleBelief,VoIBudgetPriceSense_gamma0.1,90,0,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.902489,0.751457,0.828267,74.544,0.828267,74.544,0.342455,0.0,1.322
OracleBelief,VoIBudgetPriceSense_gamma0.1,90,0.25,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.888978,0.750538,0.780711,70.264,0.8917,80.253,0.431345,0.027111,1.299
OracleBelief,VoIBudgetPriceSense_gamma0.1,90,0.5,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.876622,0.747237,0.732089,65.888,0.935622,84.206,0.443966,0.037244,1.379
OracleBelief,VoIBudgetPriceSense_gamma0.1,90,1,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.852222,0.740387,0.636356,57.272,0.972711,87.544,0.471435,0.014267,1.456
OracleBelief,VoIBudgetPriceSense_gamma0.1,90,2,"OracleBelief(eps=0.4,hl=12h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.812844,0.733163,0.500267,45.024,0.993156,89.384,0.507374,0.030622,1.671
OracleBelief,VoIThresholdSense_lambda0.01,24,0,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.773422,0.729636,0.2664,23.976,0.2664,23.976,0.352519,0.0,2.675
OracleBelief,VoIThresholdSense_lambda0.01,24,0.25,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.765422,0.72673,0.2312,20.808,0.262967,23.667,0.450404,0.317378,2.662
OracleBelief,VoIThresholdSense_lambda0.01,24,0.5,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.761467,0.727291,0.208444,18.76,0.264267,23.784,0.464392,0.196667,2.862
OracleBelief,VoIThresholdSense_lambda0.01,24,1,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.759111,0.729566,0.178,16.02,0.266622,23.996,0.502122,0.019244,3.371
OracleBelief,VoIThresholdSense_lambda0.01,24,2,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.752711,0.733766,0.142044,12.784,0.266667,24.0,0.561327,0.038533,4.286
OracleBelief,VoIThresholdSense_lambda0.01,90,0,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.867378,0.74792,0.624844,56.236,0.624844,56.236,0.335088,0.0,1.44
OracleBelief,VoIThresholdSense_lambda0.01,90,0.25,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.856844,0.74576,0.585956,52.736,0.670667,60.36,0.421723,0.003422,1.375
OracleBelief,VoIThresholdSense_lambda0.01,90,0.5,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.851333,0.743957,0.5652,50.868,0.723978,65.158,0.438154,0.005378,1.395
OracleBelief,VoIThresholdSense_lambda0.01,90,1,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.843067,0.742812,0.531022,47.792,0.816667,73.5,0.462086,0.004711,1.442
OracleBelief,VoIThresholdSense_lambda0.01,90,2,"OracleBelief(eps=0.4,hl=12h)",VoIThresholdSense(lambda=0.01),10,22500,0.821156,0.737864,0.458267,41.244,0.919067,82.716,0.497236,0.015556,1.593
PeriodicPersistence,NeverSense,24,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.588879,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,24,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.588879,0.0,0.0,0.0,0.0,,0.0,
