belief,policy,budget,room_change_cost,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,cost_per_question,cost_per_day,same_room_sense_fraction,forced_answer_rate,median_ess
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,24,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.663156,0.640877,0.195911,17.632,0.239333,21.54,0.556715,0.067556,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,24,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.646311,0.631056,0.193689,17.432,0.2664,23.976,0.624598,0.017378,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,24,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.642489,0.629089,0.162444,14.62,0.266356,23.972,0.680164,0.031867,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,90,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.750267,0.695761,0.976711,87.904,0.976711,87.904,0.270431,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,90,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.746667,0.694319,0.875156,78.764,0.957167,86.145,0.625159,0.102933,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,90,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.735644,0.687877,0.836133,75.252,0.987444,88.87,0.638069,0.131422,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,90,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.724178,0.682865,0.74,66.6,0.995422,89.588,0.654835,0.016133,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,90,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.708089,0.671797,0.602044,54.184,0.998667,89.88,0.670604,0.037333,
PeriodicPersistence,VoIThresholdSense_lambda0.02,90,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.776933,0.698563,0.851244,76.612,0.851244,76.612,0.307106,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.02,90,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.767511,0.695763,0.743289,66.896,0.819244,73.732,0.591246,0.066,
PeriodicPersistence,VoIThresholdSense_lambda0.02,90,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.762978,0.695274,0.677867,61.008,0.812933,73.164,0.601495,0.036578,
PeriodicPersistence,VoIThresholdSense_lambda0.02,90,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.756667,0.691048,0.5804,52.236,0.8044,72.396,0.614059,0.005244,
PeriodicPersistence,VoIThresholdSense_lambda0.02,90,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.733956,0.679625,0.441822,39.764,0.765644,68.908,0.633538,0.004844,
PeriodicPersistence,VoIThresholdSense_lambda0.05,24,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.681422,0.650038,0.243156,21.884,0.243156,21.884,0.351307,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.05,24,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.677733,0.649135,0.209333,18.84,0.235022,21.152,0.50913,0.034089,
PeriodicPersistence,VoIThresholdSense_lambda0.05,24,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.676889,0.646182,0.190222,17.12,0.236711,21.304,0.511215,0.0196,
PeriodicPersistence,VoIThresholdSense_lambda0.05,24,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.67,0.642861,0.167556,15.08,0.242756,21.848,0.551194,0.0052,
PeriodicPersistence,VoIThresholdSense_lambda0.05,24,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.655067,0.633318,0.1344,12.096,0.234578,21.112,0.627315,0.008756,
PerpetuaStar,NeverSense,24,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,24,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,24,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,24,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,24,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,90,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,90,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,90,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,90,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,NeverSense,90,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,0.0,,0.0,
PerpetuaStar,ResolvableMassSense_best,24,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.616978,0.595778,0.266178,23.956,0.266178,23.956,0.350643,0.0,
PerpetuaStar,ResolvableMassSense_best,24,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.611911,0.591875,0.225911,20.332,0.262533,23.628,0.351564,0.180089,
PerpetuaStar,ResolvableMassSense_best,24,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.605511,0.586382,0.199156,17.924,0.263933,23.754,0.349476,0.134222,
PerpetuaStar,ResolvableMassSense_best,24,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.592889,0.577971,0.163378,14.704,0.265644,23.908,0.374048,0.056622,
PerpetuaStar,ResolvableMassSense_best,24,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.5856,0.571115,0.120844,10.876,0.264578,23.812,0.405296,0.106044,
PerpetuaStar,ResolvableMassSense_best,90,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.680578,0.651747,0.990356,89.132,0.990356,89.132,0.381143,0.0,
PerpetuaStar,ResolvableMassSense_best,90,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.661733,0.635509,0.861022,77.492,0.994556,89.51,0.379652,0.231956,
PerpetuaStar,ResolvableMassSense_best,90,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.648444,0.625291,0.762044,68.584,0.9976,89.784,0.38178,0.177689,
PerpetuaStar,ResolvableMassSense_best,90,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.627644,0.608797,0.618133,55.632,0.999867,89.988,0.382442,0.024578,
PerpetuaStar,ResolvableMassSense_best,90,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.612089,0.59269,0.4516,40.644,0.999956,89.996,0.392875,0.065733,
PerpetuaStar,SequentialSearch,24,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.600711,0.583228,0.266667,24.0,0.266667,24.0,0.279,0.0,
PerpetuaStar,SequentialSearch,24,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.595956,0.5792,0.223644,20.128,0.263467,23.712,0.287758,0.552533,
PerpetuaStar,SequentialSearch,24,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.590178,0.57663,0.196444,17.68,0.264444,23.8,0.307692,0.386933,
PerpetuaStar,SequentialSearch,24,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.585156,0.572875,0.159156,14.324,0.266667,24.0,0.32449,0.034622,
PerpetuaStar,SequentialSearch,24,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.573733,0.563514,0.119822,10.784,0.266667,24.0,0.38724,0.084756,
PerpetuaStar,SequentialSearch,90,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.644133,0.607372,1.0,90.0,1.0,90.0,0.221156,0.0,
PerpetuaStar,SequentialSearch,90,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.634178,0.602258,0.8348,75.132,0.996278,89.665,0.226268,0.525333,
PerpetuaStar,SequentialSearch,90,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.631067,0.600146,0.721733,64.956,0.998,89.82,0.234436,0.309378,
PerpetuaStar,SequentialSearch,90,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.624044,0.595565,0.570222,51.32,1.0,90.0,0.246298,0.053244,
PerpetuaStar,SequentialSearch,90,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.612978,0.590131,0.407378,36.664,1.0,90.0,0.272638,0.094578,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,24,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.623067,0.597807,0.262711,23.644,0.262711,23.644,0.341059,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,24,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.621289,0.596886,0.210444,18.94,0.234722,21.125,0.538543,0.050356,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,24,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.611556,0.589426,0.197244,17.752,0.237622,21.386,0.590581,0.066533,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,24,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.5896,0.577965,0.187156,16.844,0.266222,23.96,0.577535,0.017156,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,24,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.582311,0.572132,0.150222,13.52,0.266667,24.0,0.612426,0.0332,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,90,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.7072,0.658025,0.988222,88.94,0.988222,88.94,0.387407,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,90,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.694978,0.654067,0.874,78.66,0.972011,87.481,0.551437,0.117289,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,90,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.667733,0.631644,0.812756,73.148,0.994133,89.472,0.553672,0.173422,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,90,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.647333,0.617588,0.695156,62.564,0.999333,89.94,0.562432,0.0144,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,90,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.626667,0.60309,0.547022,49.232,0.999911,89.992,0.586042,0.028178,
PerpetuaStar,VoIThresholdSense_lambda0.05,90,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.716711,0.671203,0.839556,75.56,0.839556,75.56,0.369931,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.05,90,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.710356,0.66706,0.783644,70.528,0.870367,78.333,0.557339,0.044222,
PerpetuaStar,VoIThresholdSense_lambda0.05,90,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.708844,0.663928,0.734089,66.068,0.887578,79.882,0.581825,0.025644,
PerpetuaStar,VoIThresholdSense_lambda0.05,90,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.697289,0.656229,0.658889,59.3,0.914222,82.28,0.612479,0.005333,
PerpetuaStar,VoIThresholdSense_lambda0.05,90,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.684222,0.646145,0.5604,50.436,0.939689,84.572,0.661591,0.012933,
PerpetuaStar,VoIThresholdSense_lambda0.2,24,0,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.631111,0.602574,0.260578,23.452,0.260578,23.452,0.341634,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.2,24,0.25,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.629867,0.600893,0.225822,20.324,0.251889,22.67,0.53828,0.0456,
PerpetuaStar,VoIThresholdSense_lambda0.2,24,0.5,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.628133,0.600668,0.200667,18.06,0.241333,21.72,0.594684,0.014222,
PerpetuaStar,VoIThresholdSense_lambda0.2,24,1,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.595111,0.576462,0.131556,11.84,0.168711,15.184,0.717568,0.000222,
PerpetuaStar,VoIThresholdSense_lambda0.2,24,2,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.562356,0.552753,0.064444,5.8,0.064444,5.8,1.0,0.0,
