belief,budget,policy,policy_config,cost_aware,room_change_cost,task_accuracy,accuracy_vs_c0,senses_per_question,senses_vs_c0,cost_per_question,same_room_sense_fraction,forced_answer_rate
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.704756,-0.000711,0.782978,-0.032311,0.842078,0.698076,0.108978
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.701511,-0.003956,0.741556,-0.073733,0.851756,0.702787,0.066756
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.6936,-0.011867,0.659378,-0.155911,0.851156,0.709153,0.012356
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.682356,-0.023111,0.5516,-0.263689,0.852489,0.727258,0.020311
PeriodicPersistence,24,NeverSense,NeverSense,False,0,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,24,NeverSense,NeverSense,False,0.25,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,24,NeverSense,NeverSense,False,0.5,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,24,NeverSense,NeverSense,False,1,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,24,NeverSense,NeverSense,False,2,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,24,SequentialSearch,SequentialSearch,False,0,0.654178,0.0,0.266667,0.0,0.266667,0.350333,0.0
PeriodicPersistence,24,SequentialSearch,SequentialSearch,False,0.25,0.643733,-0.010445,0.226711,-0.039956,0.263056,0.358753,0.597822
PeriodicPersistence,24,SequentialSearch,SequentialSearch,False,0.5,0.638133,-0.016045,0.201022,-0.065645,0.264289,0.370551,0.412578
PeriodicPersistence,24,SequentialSearch,SequentialSearch,False,1,0.629067,-0.025111,0.165556,-0.101111,0.266667,0.389262,0.031778
PeriodicPersistence,24,SequentialSearch,SequentialSearch,False,2,0.624444,-0.029734,0.124089,-0.142578,0.266667,0.425501,0.085289
PeriodicPersistence,24,ResolvableMassSense,ResolvableMassSense_best,False,0,0.690444,0.0,0.205733,0.0,0.205733,0.272629,0.0
PeriodicPersistence,24,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.682844,-0.0076,0.1904,-0.015333,0.224211,0.289683,0.019689
PeriodicPersistence,24,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.674,-0.016444,0.178533,-0.0272,0.241622,0.293254,0.025511
PeriodicPersistence,24,ResolvableMassSense,ResolvableMassSense_best,False,1,0.662667,-0.027777,0.15,-0.055733,0.254844,0.301037,0.016356
PeriodicPersistence,24,ResolvableMassSense,ResolvableMassSense_best,False,2,0.645689,-0.044755,0.112044,-0.093689,0.259333,0.342721,0.042533
PeriodicPersistence,24,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,0,0.681422,0.0,0.243156,0.0,0.243156,0.351307,0.0
PeriodicPersistence,24,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,0.25,0.677733,-0.003689,0.209333,-0.033823,0.235022,0.50913,0.034089
PeriodicPersistence,24,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,0.5,0.676889,-0.004533,0.190222,-0.052934,0.236711,0.511215,0.0196
PeriodicPersistence,24,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,1,0.67,-0.011422,0.167556,-0.0756,0.242756,0.551194,0.0052
PeriodicPersistence,24,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,2,0.655067,-0.026355,0.1344,-0.108756,0.234578,0.627315,0.008756
PeriodicPersistence,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0,0.668267,0.0,0.262489,0.0,0.262489,0.363359,0.0
PeriodicPersistence,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.670222,0.001955,0.203867,-0.058622,0.226833,0.549379,0.059689
