household_id,day_index,ess,correct,routine_correct
hh_001,3,1.4835,0,0
hh_001,3,1.4835,1,1
hh_001,3,1.4835,1,0
hh_001,3,1.4835,0,0
hh_001,3,1.4835,0,1
hh_001,3,1.4797,1,1
hh_001,3,1.4797,1,1
hh_001,3,1.4797,0,1
hh_001,3,1.4797,1,0
hh_001,3,1.4797,1,1
hh_001,3,1.4797,0,0
hh_001,3,1.4797,0,0
hh_001,3,1.4797,1,1
hh_001,3,1.4797,0,0
hh_001,3,1.4797,0,0
hh_001,3,1.4797,1,0
hh_001,3,1.4797,1,1
hh_001,3,1.4797,0,1
hh_001,3,1.4797,1,0
hh_001,3,1.4797,1,1
hh_001,3,2.0869,1,1
hh_001,3,2.0869,0,0
hh_001,3,2.0869,1,1
hh_001,3,2.0869,1,1
hh_001,3,2.0869,1,1
hh_001,3,2.0869,0,1
hh_001,3,2.0869,0,0
hh_001,3,2.0869,1,1
hh_001,3,2.0869,1,1
hh_001,3,2.0869,1,1
hh_001,3,2.0869,1,1
hh_001,3,2.0869,1,0
hh_001,3,1.3969,0,0
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,0
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3969,0,0
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3969,0,1
hh_001,3,1.3969,0,0
hh_001,3,1.3969,0,1
hh_001,3,1.3969,0,0
hh_001,3,1.3969,1,0
hh_001,3,1.3969,1,1
hh_001,3,1.3969,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,0,1
hh_001,3,1.3932,0,0
hh_001,3,1.3932,0,0
hh_001,3,1.3932,0,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3932,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,0,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,0,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,1.3941,1,1
hh_001,3,2.0084,1,1
hh_001,3,2.0084,1,1
hh_001,3,2.0084,1,1
hh_001,3,2.0084,1,1
hh_001,3,2.0084,1,1
hh_001,3,2.0084,1,1
hh_001,4,2.0084,1,1
hh_001,4,2.0084,1,1
hh_001,4,2.0084,0,0
hh_001,4,2.0084,0,0
hh_001,4,1.4247,1,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,0,0
hh_001,4,1.4247,0,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,0,0
hh_001,4,1.4247,1,0
hh_001,4,1.4247,1,0
hh_001,4,1.4247,1,1
hh_001,4,1.4247,0,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,1,1
hh_001,4,1.4247,0,0
hh_001,4,1.4261,1,1
hh_001,4,1.4261,1,1
hh_001,4,1.4261,0,0
hh_001,4,1.4261,1,1
hh_001,4,1.4261,1,1
hh_001,4,1.4261,0,1
hh_001,4,1.4261,0,0
hh_001,4,1.4261,1,1
hh_001,4,1.4261,1,1
hh_001,4,1.4261,1,1
hh_001,4,1.4261,1,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,0,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,0,0
hh_001,4,1.4258,1,1
hh_001,4,1.4258,1,1
hh_001,4,1.4258,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,0
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,0,0
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,1,1
hh_001,4,2.0652,0,0
hh_001,4,2.1528,1,1
hh_001,4,2.1528,0,0
hh_001,4,2.1528,1,1
hh_001,4,2.1528,1,0
hh_001,4,2.1528,1,0
hh_001,4,2.1528,1,1
hh_001,4,2.1528,1,1
hh_001,4,2.1528,1,1
hh_001,4,2.1528,0,0
hh_001,4,2.1528,0,0
hh_001,4,2.1528,1,1
hh_001,4,2.1528,0,0
hh_001,4,2.1528,1,1
hh_001,4,2.1528,1,1
hh_001,4,2.1528,1,1
hh_001,4,1.5668,0,0
hh_001,4,1.5668,1,1
hh_001,4,1.5668,1,1
hh_001,4,1.5668,1,1
hh_001,4,1.5668,1,0
hh_001,4,1.5668,1,1
hh_001,4,1.5668,1,1
hh_001,4,1.5668,1,0
hh_001,4,1.5668,1,1
hh_001,4,1.5668,1,1
hh_001,5,1.5668,1,1
hh_001,5,1.5668,1,1
hh_001,5,1.5668,1,1
hh_001,5,1.5668,1,1
hh_001,5,1.5668,1,1
hh_001,5,1.5668,0,0
hh_001,5,1.5668,1,1
hh_001,5,1.5668,1,0
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,0
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,1,1
hh_001,5,1.689,0,0
hh_001,5,1.689,0,0
hh_001,5,1.689,0,1
hh_001,5,1.689,0,1
hh_001,5,1.689,1,1
hh_001,5,1.2315,1,1
hh_001,5,1.2315,0,1
hh_001,5,1.2315,1,1
hh_001,5,1.2315,0,1
hh_001,5,1.2315,0,1
hh_001,5,1.2315,1,0
hh_001,5,1.2315,1,1
hh_001,5,1.2315,0,1
hh_001,5,1.2315,1,1
