milestone,fingerprint,scene,eval_folder,policy,wait_hours,label,category,hazard_class,question_type,correct,abstained,confidence,brier,answer_latency_s,distance_traveled_m,policy_invocations
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,candle_1,candle,volatile,location,True,False,1.0,1.0,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,book_1,book,volatile,location,True,False,1.0,1.0,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,candle_1,candle,volatile,location,True,False,1.0,1.0,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,book_1,book,volatile,location,,True,,0.5,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,book_1,book,volatile,location,,True,,0.5,12.317315532750683,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,bowl_1,bowl,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447951855,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,potted_plant_1,potted_plant,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,2.0,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,book_1,book,volatile,location,,True,,0.5,12.317315532750683,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,bowl_1,bowl,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447951855,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,cup_1,cup,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,potted_plant_1,potted_plant,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,4.0,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,book_1,book,volatile,location,True,False,1.0,1.0,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,bowl_1,bowl,volatile,location,True,False,0.8193068569610759,0.9795937425366968,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,candle_1,candle,volatile,location,True,False,1.0,1.0,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,cup_1,cup,volatile,location,True,False,0.7042871531825283,0.9453461951419416,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,keys_1,keys,stable,location,True,False,0.9496576896159764,0.9984160323657492,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,potted_plant_1,potted_plant,volatile,location,True,False,0.8674785857942132,0.9890237967355614,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.25,vase_1,vase,stable,location,True,False,0.9366700237589388,0.9973262094062044,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,book_1,book,volatile,location,True,False,1.0,1.0,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,bowl_1,bowl,volatile,location,True,False,0.6728544517518471,0.9331098689133847,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,candle_1,candle,volatile,location,True,False,1.0,1.0,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,cup_1,cup,volatile,location,True,False,0.4980898960008174,0.842553904689706,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,keys_1,keys,stable,location,True,False,0.9020721516227796,0.99400633532013,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,potted_plant_1,potted_plant,volatile,location,True,False,0.7730601827874238,0.9678114496022016,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,0.5,vase_1,vase,stable,location,True,False,0.8780327088905836,0.9900826532662872,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,book_1,book,volatile,location,,True,,0.5,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,bowl_1,bowl,volatile,location,True,False,0.45380597664309597,0.8135450555307486,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,cup_1,cup,volatile,location,True,False,0.2491286431726192,0.6476201284351302,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,keys_1,keys,stable,location,True,False,0.8139348588731071,0.9783623520358934,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,potted_plant_1,potted_plant,volatile,location,True,False,0.6139349954565083,0.906846132666771,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,1.0,vase_1,vase,stable,location,True,False,0.7715407001136835,0.9652042321969694,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,book_1,book,volatile,location,,True,,0.5,12.317315532750683,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,bowl_1,bowl,volatile,location,False,False,0.20642789002394835,0.5983672038876628,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447951855,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,cup_1,cup,volatile,location,True,False,0.06232402947685685,0.450477358939676,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,keys_1,keys,stable,location,True,False,0.6626533451045025,0.9288732715192614,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,potted_plant_1,potted_plant,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,2.0,vase_1,vase,stable,location,True,False,0.5957377665282682,0.8910480310589647,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,book_1,book,volatile,location,,True,,0.5,12.317315532750683,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,bowl_1,bowl,volatile,location,False,False,0.04271345460530599,0.6238597254973004,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447951855,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,cup_1,cup,volatile,location,False,False,0.003900490706302727,0.6249904913576563,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,keys_1,keys,stable,location,True,False,0.4392177538193284,0.8034520452303504,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,potted_plant_1,potted_plant,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,decay_voi,4.0,vase_1,vase,stable,location,True,False,0.3551793572994862,0.7228042258315308,0.0,0.0,1
