obj_id,label,class,n_moves,moves_per_day,tercile
0,book_1,book,26,2.0,dynamic
1,book_2,book,6,0.46153846153846156,occasional
2,book_3,book,2,0.15384615384615385,occasional
3,bottle_1,bottle,17,1.3076923076923077,dynamic
4,bottle_2,bottle,17,1.3076923076923077,dynamic
5,bowl_1,bowl,4,0.3076923076923077,occasional
6,bowl_2,bowl,0,0.0,static
7,bowl_3,bowl,13,1.0,dynamic
8,bowl_4,bowl,13,1.0,dynamic
9,chair_1,chair,27,2.076923076923077,dynamic
10,chair_2,chair,0,0.0,static
11,chair_3,chair,0,0.0,static
12,chair_4,chair,0,0.0,static
13,elena_keys,keys,2,0.15384615384615385,occasional
14,elena_laptop,laptop,3,0.23076923076923078,occasional
15,elena_phone,phone,18,1.3846153846153846,dynamic
16,elena_sunglasses,sunglasses,1,0.07692307692307693,static
17,elena_wallet,wallet,1,0.07692307692307693,static
18,fridge_1,fridge,0,0.0,static
19,leo_backpack,backpack,5,0.38461538461538464,occasional
20,leo_headphones,headphones,13,1.0,dynamic
21,leo_laptop,laptop,9,0.6923076923076923,occasional
22,leo_phone,phone,13,1.0,dynamic
23,marcus_keys,keys,3,0.23076923076923078,occasional
24,marcus_laptop,laptop,4,0.3076923076923077,occasional
25,marcus_phone,phone,15,1.1538461538461537,dynamic
26,marcus_wallet,wallet,3,0.23076923076923078,occasional
27,mia_backpack,backpack,1,0.07692307692307693,static
28,mia_headphones,headphones,5,0.38461538461538464,occasional
29,mia_laptop,laptop,6,0.46153846153846156,occasional
30,mia_phone,phone,13,1.0,dynamic
31,mia_sunglasses,sunglasses,1,0.07692307692307693,static
32,potted_plant_1,potted_plant,9,0.6923076923076923,occasional
33,potted_plant_2,potted_plant,2,0.15384615384615385,occasional
34,potted_plant_3,potted_plant,0,0.0,static
35,potted_plant_4,potted_plant,0,0.0,static
36,potted_plant_5,potted_plant,0,0.0,static
37,potted_plant_6,potted_plant,0,0.0,static
38,remote_control_1,remote_control,10,0.7692307692307693,dynamic
39,stool_1,stool,19,1.4615384615384615,dynamic
40,stool_2,stool,0,0.0,static
41,stool_3,stool,0,0.0,static
42,tv_1,tv,0,0.0,static
43,vase_1,vase,1,0.07692307692307693,static
44,wardrobe_1,wardrobe,0,0.0,static
