belief,policy,mode,alpha,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.620356,0.613424,0.266667,24.0,0.0,24,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.621156,0.612449,0.266667,24.0,0.0,24,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.619644,0.612525,0.266667,24.0,0.0,24,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.6192,0.610896,0.266667,24.0,0.0,24,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.623067,0.614599,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)",NeverSense,NeverSense,,10,22500,0.5568,0.552908,0.0,0.0,0.0,24,
"HierarchyBackoff(po=5,pc=5,hl=24h)",SequentialSearch,SequentialSearch,,10,22500,0.593911,0.58763,0.266667,24.0,0.0,24,
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.596756,0.588337,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.598089,0.590945,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.598844,0.589324,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.597511,0.589831,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.597067,0.58845,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.5992,0.592105,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.600844,0.58871,0.266667,24.0,0.0,24,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.601022,0.592106,0.266667,24.0,0.0,24,1.000000
