budget,belief,policy,day_index,n_questions,task_accuracy,belief_accuracy
0,last_observation,sequential_search,3,90,0.011111111111111112,0.044444444444444446
0,last_observation,sequential_search,4,90,0.05555555555555555,0.06013071895424837
0,last_observation,sequential_search,5,90,0.07777777777777778,0.0738562091503268
0,last_observation,sequential_search,6,90,0.07777777777777778,0.0803921568627451
0,last_observation,sequential_search,7,90,0.044444444444444446,0.07320261437908497
0,last_observation,sequential_search,8,90,0.05555555555555555,0.04967320261437908
0,last_observation,sequential_search,9,90,0.1,0.07058823529411765
0,last_observation,sequential_search,10,90,0.044444444444444446,0.05620915032679739
0,last_observation,sequential_search,11,90,0.044444444444444446,0.05163398692810457
0,last_observation,sequential_search,12,90,0.08888888888888889,0.06405228758169934
0,last_observation,sequential_search,13,90,0.044444444444444446,0.05620915032679739
0,last_observation,sequential_search,14,90,0.022222222222222223,0.04771241830065359
0,last_observation,sequential_search,15,90,0.03333333333333333,0.06143790849673202
0,last_observation,sequential_search,16,90,0.05555555555555555,0.06666666666666667
0,last_observation,sequential_search,17,90,0.011111111111111112,0.04379084967320261
0,last_observation,sequential_search,18,90,0.03333333333333333,0.06013071895424837
0,last_observation,sequential_search,19,90,0.05555555555555555,0.06535947712418301
0,last_observation,sequential_search,20,90,0.08888888888888889,0.06928104575163399
0,last_observation,sequential_search,21,90,0.03333333333333333,0.06666666666666667
0,last_observation,sequential_search,22,90,0.044444444444444446,0.06274509803921569
0,last_observation,sequential_search,23,90,0.044444444444444446,0.056862745098039215
0,last_observation,sequential_search,24,90,0.011111111111111112,0.05620915032679739
0,last_observation,sequential_search,25,90,0.08888888888888889,0.05359477124183006
0,last_observation,sequential_search,26,90,0.1111111111111111,0.0784313725490196
0,last_observation,sequential_search,27,90,0.05555555555555555,0.06339869281045751
0,most_frequent,sequential_search,3,90,0.03333333333333333,0.06928104575163399
0,most_frequent,sequential_search,4,90,0.07777777777777778,0.0673202614379085
0,most_frequent,sequential_search,5,90,0.1,0.06993464052287582
0,most_frequent,sequential_search,6,90,0.03333333333333333,0.06993464052287582
0,most_frequent,sequential_search,7,90,0.06666666666666667,0.06862745098039216
0,most_frequent,sequential_search,8,90,0.06666666666666667,0.05032679738562092
0,most_frequent,sequential_search,9,90,0.06666666666666667,0.05620915032679739
0,most_frequent,sequential_search,10,90,0.06666666666666667,0.05555555555555555
