agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,headphones,4,0.25,0.25,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,jacket,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,keys,3,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,medication_bottle,3,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,mug,3,0.0,0.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,phone,1,0.0,0.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,plate,1,0.0,0.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,remote,4,0.5,0.5,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,umbrella,1,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,wallet,1,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,water_bottle,2,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,3,4,0.75,0.6323529411764706,0.11764705882352944,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,4,4,0.5,0.5294117647058824,-0.02941176470588236,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,5,4,1.0,0.6617647058823529,0.3382352941176471,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,6,4,0.25,0.6764705882352942,-0.42647058823529416,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,7,4,0.75,0.6617647058823529,0.08823529411764708,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,8,4,0.25,0.4264705882352941,-0.1764705882352941,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,9,4,0.25,0.6029411764705882,-0.3529411764705882,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,10,4,0.25,0.5735294117647058,-0.32352941176470584,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,11,4,0.5,0.6029411764705882,-0.1029411764705882,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,12,4,1.0,0.5882352941176471,0.4117647058823529,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,13,4,0.5,0.6323529411764706,-0.13235294117647056,0.0,0.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,overall,all,44,0.6136363636363636,0.6390374331550802,-0.025401069518716568,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,blanket,2,0.0,0.0,0.0,1.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,book,3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,bowl,12,0.6666666666666666,0.75,-0.08333333333333337,0.6666666666666666,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,charger,1,1.0,1.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,headphones,4,0.75,0.75,0.0,0.25,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,jacket,3,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,keys,3,1.0,1.0,0.0,0.6666666666666666,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,medication_bottle,3,1.0,1.0,0.0,0.6666666666666666,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,mug,3,0.0,0.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,phone,1,1.0,1.0,0.0,1.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,plate,1,0.0,0.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,remote,4,0.5,0.5,0.0,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,umbrella,1,1.0,1.0,0.0,1.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,wallet,1,1.0,1.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,water_bottle,2,1.0,1.0,0.0,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,3,4,0.75,0.6911764705882353,0.05882352941176472,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,4,4,0.5,0.5735294117647058,-0.07352941176470584,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,5,4,1.0,0.6617647058823529,0.3382352941176471,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,6,4,0.5,0.7352941176470589,-0.23529411764705888,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,7,4,0.75,0.7205882352941176,0.02941176470588236,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,8,4,0.5,0.6176470588235294,-0.11764705882352944,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,9,4,0.25,0.5735294117647058,-0.32352941176470584,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,10,4,0.75,0.6617647058823529,0.08823529411764708,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,11,4,0.5,0.6029411764705882,-0.1029411764705882,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,12,4,1.0,0.6764705882352942,0.32352941176470584,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,13,4,0.25,0.5147058823529411,-0.2647058823529411,0.5,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,44,0.6363636363636364,0.6577540106951871,-0.021390374331550777,0.45454545454545453,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,blanket,2,0.5,0.5,0.0,0.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,book,3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,bowl,12,0.5833333333333334,0.6666666666666666,-0.08333333333333326,0.5833333333333334,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,charger,1,1.0,1.0,0.0,0.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,headphones,4,0.25,0.25,0.0,0.25,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,jacket,3,0.3333333333333333,0.3333333333333333,0.0,0.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,3,1.0,1.0,0.0,1.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,medication_bottle,3,1.0,1.0,0.0,0.3333333333333333,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,3,0.6666666666666666,0.8333333333333334,-0.16666666666666674,0.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,phone,1,0.0,0.0,0.0,1.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,plate,1,0.0,0.0,0.0,1.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,remote,4,1.0,1.0,0.0,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,umbrella,1,1.0,1.0,0.0,1.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,wallet,1,1.0,1.0,0.0,0.0,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,water_bottle,2,1.0,1.0,0.0,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,3,4,0.75,0.7058823529411765,0.044117647058823484,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,4,0.5,0.5882352941176471,-0.08823529411764708,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,4,1.0,0.6470588235294118,0.3529411764705882,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,4,0.5,0.75,-0.25,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,7,4,1.0,0.75,0.25,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,8,4,0.5,0.6176470588235294,-0.11764705882352944,0.25,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,9,4,0.25,0.5588235294117647,-0.3088235294117647,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,10,4,0.25,0.6029411764705882,-0.3529411764705882,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,11,4,0.5,0.5588235294117647,-0.05882352941176472,0.25,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,12,4,1.0,0.7058823529411765,0.2941176470588235,0.5,1.8181818181818181
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,13,4,0.75,0.75,0.0,0.5,1.8181818181818181
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,overall,all,44,0.5454545454545454,0.5868983957219251,-0.041443850267379734,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,blanket,2,0.5,0.5,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,book,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,bowl,12,0.5833333333333334,0.6666666666666666,-0.08333333333333326,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,charger,1,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,headphones,4,0.25,0.25,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,jacket,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,keys,3,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,medication_bottle,3,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,mug,3,0.0,0.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,phone,1,0.0,0.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,plate,1,0.0,0.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,remote,4,0.5,0.5,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,umbrella,1,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,wallet,1,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,water_bottle,2,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,3,4,0.75,0.6323529411764706,0.11764705882352944,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,4,4,0.5,0.5294117647058824,-0.02941176470588236,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,5,4,0.75,0.6176470588235294,0.13235294117647056,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,6,4,0.25,0.7352941176470589,-0.4852941176470589,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,7,4,0.75,0.6029411764705882,0.1470588235294118,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,8,4,0.5,0.4852941176470588,0.01470588235294118,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,9,4,0.25,0.5441176470588235,-0.2941176470588235,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,10,4,0.25,0.5147058823529411,-0.2647058823529411,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,11,4,0.5,0.5441176470588235,-0.044117647058823484,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,12,4,0.75,0.5,0.25,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,13,4,0.75,0.75,0.0,0.0,0.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,overall,all,44,0.5909090909090909,0.6203208556149733,-0.02941176470588236,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,blanket,2,0.0,0.0,0.0,1.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,book,3,0.0,0.0,0.0,0.6666666666666666,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,bowl,12,0.8333333333333334,0.7916666666666666,0.04166666666666674,0.5833333333333334,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,charger,1,1.0,1.0,0.0,0.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,headphones,4,0.25,0.25,0.0,0.25,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,jacket,3,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,keys,3,1.0,1.0,0.0,0.6666666666666666,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,medication_bottle,3,1.0,1.0,0.0,0.6666666666666666,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,mug,3,0.0,0.16666666666666666,-0.16666666666666666,0.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,phone,1,1.0,1.0,0.0,2.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,plate,1,0.0,0.0,0.0,0.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,remote,4,0.5,0.5,0.0,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,umbrella,1,1.0,1.0,0.0,1.0,2.0
