belief,policy,split,n,acc_old,acc_new,delta
LastObservation,NeverSense,all,45000,0.592,0.6184,0.0264
LastObservation,SequentialSearch,all,45000,0.6508,0.6712,0.0204
MostFrequentLocation(hl=24h),NeverSense,all,45000,0.5856,0.622,0.0364
MostFrequentLocation(hl=24h),SequentialSearch,all,45000,0.6355,0.6734,0.0378
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,all,45000,0.5306,0.5604,0.0298
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,all,45000,0.5783,0.598,0.0198
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,all,45000,0.5616,0.5616,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,all,45000,0.6286,0.6286,0.0
