belief,policy,budget,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,forced_answer_rate,median_ess
PeriodicPersistence,SequentialSearch,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.654178,0.637559,0.266667,24.0,0.0,
PeriodicPersistence,SequentialSearch,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.719822,0.678604,1.0,90.0,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.01,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.666356,0.643943,0.2612,23.508,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.01,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.739067,0.690981,0.971244,87.412,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.05,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.05,lambda0=0.05)",10,22500,0.665378,0.642523,0.260089,23.408,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.05,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.05,lambda0=0.05)",10,22500,0.750622,0.696584,0.977378,87.964,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.668,0.644084,0.2616,23.544,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.752311,0.69662,0.976222,87.86,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.01,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.01),10,22500,0.665244,0.642752,0.266667,24.0,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.01,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.01),10,22500,0.751867,0.693272,0.939111,84.52,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.01,soft,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.01),10,22500,0.928622,0.790683,2.5616,230.544,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.02,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.6688,0.644368,0.266667,24.0,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.02,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.776444,0.698433,0.854,76.86,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.02,soft,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.02),10,22500,0.871511,0.749275,1.360889,122.48,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.05,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.681156,0.650625,0.242978,21.868,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.05,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.743556,0.687808,0.420356,37.832,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.05,soft,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.05),10,22500,0.745467,0.688056,0.426978,38.428,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.1,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.1),10,22500,0.6752,0.646679,0.152933,13.764,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.1,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.1),10,22500,0.675822,0.646846,0.154933,13.944,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.1,soft,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.1),10,22500,0.675822,0.646905,0.154933,13.944,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.2,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.2),10,22500,0.640756,0.623224,0.077111,6.94,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.2,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.2),10,22500,0.640844,0.623295,0.077111,6.94,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.2,soft,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.2),10,22500,0.6408,0.623278,0.077111,6.94,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.3,24,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.3),10,22500,0.615911,0.604231,0.036667,3.3,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.3,90,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.3),10,22500,0.615956,0.604251,0.036667,3.3,0.0,
PeriodicPersistence,VoIThresholdSense_lambda0.3,soft,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",VoIThresholdSense(lambda=0.3),10,22500,0.615956,0.604218,0.036667,3.3,0.0,
PerpetuaStar,ConformalGlobal_best,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ConformalSense(alpha=0.3,global)",10,22500,0.622089,0.597403,0.266311,23.968,0.0,
