belief,policy,mode,alpha,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.662267,0.623929,1.0,90.0,0.0,90,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.658978,0.62106,1.0,90.0,0.0,90,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.658178,0.619616,1.0,90.0,0.0,90,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.657733,0.62089,1.0,90.0,0.0,90,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.683156,0.633248,0.998,89.82,0.0,90,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.3,global)",global,0.3,10,22500,0.728533,0.654705,0.989467,89.052,0.0,90,0.999995
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,10,22500,0.699733,0.639045,0.854311,76.888,0.0,90,0.999995
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.4,global)",global,0.4,10,22500,0.6908,0.624856,0.734133,66.072,0.0,90,0.875000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,10,22500,0.706578,0.646512,0.868044,78.124,0.0,90,0.875000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.5,global)",global,0.5,10,22500,0.676622,0.627782,0.669333,60.24,0.0,90,0.500000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,10,22500,0.712311,0.645178,0.926044,83.344,0.0,90,0.500000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,NeverSense,,10,22500,0.561022,0.557602,0.0,0.0,0.0,90,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,SequentialSearch,,10,22500,0.722089,0.69723,1.0,90.0,0.0,90,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.722356,0.698917,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.723511,0.699287,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.723111,0.699062,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.721467,0.697273,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.726,0.700744,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.722444,0.698824,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.7216,0.697202,1.0,90.0,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.742978,0.719306,0.969067,87.216,0.0,90,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.3,global)",global,0.3,10,22500,0.809511,0.779338,0.847511,76.276,0.0,90,0.998081
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,10,22500,0.781778,0.755166,0.803289,72.296,0.0,90,0.998081
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.4,global)",global,0.4,10,22500,0.594933,0.591852,0.028044,2.524,0.0,90,0.500000
