budget,belief,policy,day_index,n_questions,task_accuracy,belief_accuracy
0,last_observation,sequential_search,3,90,0.12222222222222222,0.06928104575163399
0,last_observation,sequential_search,4,90,0.06666666666666667,0.06797385620915032
0,last_observation,sequential_search,5,90,0.044444444444444446,0.06470588235294118
0,last_observation,sequential_search,6,90,0.03333333333333333,0.06535947712418301
0,last_observation,sequential_search,7,90,0.13333333333333333,0.07254901960784314
0,last_observation,sequential_search,8,90,0.05555555555555555,0.05555555555555555
0,last_observation,sequential_search,9,90,0.1,0.0673202614379085
0,last_observation,sequential_search,10,90,0.05555555555555555,0.05816993464052288
0,last_observation,sequential_search,11,90,0.05555555555555555,0.04771241830065359
0,last_observation,sequential_search,12,90,0.1111111111111111,0.06993464052287582
0,last_observation,sequential_search,13,90,0.03333333333333333,0.060784313725490195
0,last_observation,sequential_search,14,90,0.022222222222222223,0.06013071895424837
0,last_observation,sequential_search,15,90,0.05555555555555555,0.06209150326797386
0,last_observation,sequential_search,16,90,0.044444444444444446,0.04967320261437908
0,last_observation,sequential_search,17,90,0.06666666666666667,0.054901960784313725
0,last_observation,sequential_search,18,90,0.044444444444444446,0.06993464052287582
0,last_observation,sequential_search,19,90,0.022222222222222223,0.04379084967320261
0,last_observation,sequential_search,20,90,0.03333333333333333,0.06535947712418301
0,most_frequent,sequential_search,3,90,0.03333333333333333,0.05816993464052288
0,most_frequent,sequential_search,4,90,0.05555555555555555,0.060784313725490195
0,most_frequent,sequential_search,5,90,0.022222222222222223,0.06339869281045751
0,most_frequent,sequential_search,6,90,0.06666666666666667,0.06143790849673202
0,most_frequent,sequential_search,7,90,0.13333333333333333,0.06862745098039216
0,most_frequent,sequential_search,8,90,0.07777777777777778,0.07320261437908497
0,most_frequent,sequential_search,9,90,0.03333333333333333,0.05359477124183006
0,most_frequent,sequential_search,10,90,0.06666666666666667,0.056862745098039215
0,most_frequent,sequential_search,11,90,0.1,0.0718954248366013
0,most_frequent,sequential_search,12,90,0.06666666666666667,0.05359477124183006
0,most_frequent,sequential_search,13,90,0.044444444444444446,0.060784313725490195
0,most_frequent,sequential_search,14,90,0.06666666666666667,0.044444444444444446
0,most_frequent,sequential_search,15,90,0.044444444444444446,0.06274509803921569
0,most_frequent,sequential_search,16,90,0.022222222222222223,0.06666666666666667
0,most_frequent,sequential_search,17,90,0.05555555555555555,0.06339869281045751
0,most_frequent,sequential_search,18,90,0.05555555555555555,0.05228758169934641
0,most_frequent,sequential_search,19,90,0.011111111111111112,0.054901960784313725
0,most_frequent,sequential_search,20,90,0.022222222222222223,0.06601307189542484
0,timetable,sequential_search,3,90,0.07777777777777778,0.07450980392156863
0,timetable,sequential_search,4,90,0.06666666666666667,0.06143790849673202
0,timetable,sequential_search,5,90,0.06666666666666667,0.06470588235294118
0,timetable,sequential_search,6,90,0.05555555555555555,0.05228758169934641
0,timetable,sequential_search,7,90,0.06666666666666667,0.06339869281045751
0,timetable,sequential_search,8,90,0.044444444444444446,0.05620915032679739
0,timetable,sequential_search,9,90,0.03333333333333333,0.05620915032679739
0,timetable,sequential_search,10,90,0.044444444444444446,0.06339869281045751
0,timetable,sequential_search,11,90,0.07777777777777778,0.06601307189542484
0,timetable,sequential_search,12,90,0.07777777777777778,0.06405228758169934
0,timetable,sequential_search,13,90,0.044444444444444446,0.0542483660130719
0,timetable,sequential_search,14,90,0.022222222222222223,0.05816993464052288
0,timetable,sequential_search,15,90,0.03333333333333333,0.05163398692810457
0,timetable,sequential_search,16,90,0.07777777777777778,0.0673202614379085
0,timetable,sequential_search,17,90,0.05555555555555555,0.05816993464052288
0,timetable,sequential_search,18,90,0.044444444444444446,0.05947712418300653
0,timetable,sequential_search,19,90,0.06666666666666667,0.06535947712418301
0,timetable,sequential_search,20,90,0.15555555555555556,0.0915032679738562
1,last_observation,sequential_search,3,90,0.022222222222222223,0.07124183006535947
1,last_observation,sequential_search,4,90,0.14444444444444443,0.0784313725490196
1,last_observation,sequential_search,5,90,0.1,0.12287581699346405
1,last_observation,sequential_search,6,90,0.18888888888888888,0.17516339869281045
1,last_observation,sequential_search,7,90,0.26666666666666666,0.2529411764705882
1,last_observation,sequential_search,8,90,0.23333333333333334,0.21176470588235294
1,last_observation,sequential_search,9,90,0.2,0.22156862745098038
1,last_observation,sequential_search,10,90,0.15555555555555556,0.1627450980392157
1,last_observation,sequential_search,11,90,0.28888888888888886,0.29411764705882354
1,last_observation,sequential_search,12,90,0.2777777777777778,0.2529411764705882
1,last_observation,sequential_search,13,90,0.2,0.19150326797385622
1,last_observation,sequential_search,14,90,0.24444444444444444,0.22679738562091503
1,last_observation,sequential_search,15,90,0.2777777777777778,0.2725490196078431
1,last_observation,sequential_search,16,90,0.3,0.32941176470588235
1,last_observation,sequential_search,17,90,0.3,0.2928104575163399
1,last_observation,sequential_search,18,90,0.3888888888888889,0.39673202614379083
