household,protocol,method,perm,n_days,draw,accuracy,accuracy_moved_only
A,E2,pooled,0,65,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,1,,0.8570588235294118,
A,E1,modal,1,1,,0.9056470588235294,
A,E1,frequency,1,1,,0.9337647058823529,
A,E1,markov,1,1,,0.932,
A,E1,pooled,1,1,,0.834,
A,E1,fremen,1,1,,0.9445882352941176,
A,E2,fallback,1,1,0,1.0,
A,E2,pooled,1,1,0,1.0,
A,E2,fallback,1,1,1,0.8558823529411764,0.0
A,E2,pooled,1,1,1,0.49117647058823527,0.0
A,E2,fallback,1,1,2,0.9941176470588236,0.0
A,E2,pooled,1,1,2,0.9941176470588236,0.0
A,E2,fallback,1,1,3,1.0,
A,E2,pooled,1,1,3,1.0,
A,E2,fallback,1,1,4,0.47058823529411764,0.0
A,E2,pooled,1,1,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,2,,0.8972941176470588,
A,E1,modal,1,2,,0.9056470588235294,
A,E1,frequency,1,2,,0.9337647058823529,
A,E1,markov,1,2,,0.9296470588235294,
A,E1,pooled,1,2,,0.9318823529411765,
A,E1,fremen,1,2,,0.9371764705882353,
A,E2,fallback,1,2,0,1.0,
A,E2,pooled,1,2,0,1.0,
A,E2,fallback,1,2,1,0.8558823529411764,0.0
A,E2,pooled,1,2,1,0.5205882352941177,0.0
A,E2,fallback,1,2,2,0.9941176470588236,0.0
A,E2,pooled,1,2,2,0.9941176470588236,0.0
A,E2,fallback,1,2,3,1.0,
A,E2,pooled,1,2,3,1.0,
A,E2,fallback,1,2,4,0.47058823529411764,0.0
A,E2,pooled,1,2,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,4,,0.8972941176470588,
A,E1,modal,1,4,,0.9056470588235294,
A,E1,frequency,1,4,,0.9452941176470588,
A,E1,markov,1,4,,0.9289411764705883,
A,E1,pooled,1,4,,0.9429411764705883,
A,E1,fremen,1,4,,0.9445882352941176,
A,E2,fallback,1,4,0,1.0,
A,E2,pooled,1,4,0,1.0,
A,E2,fallback,1,4,1,0.8558823529411764,0.0
A,E2,pooled,1,4,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,1,4,2,0.9941176470588236,0.0
A,E2,pooled,1,4,2,0.9941176470588236,0.0
A,E2,fallback,1,4,3,1.0,
A,E2,pooled,1,4,3,1.0,
A,E2,fallback,1,4,4,0.47058823529411764,0.0
A,E2,pooled,1,4,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,8,,0.8972941176470588,
A,E1,modal,1,8,,0.9056470588235294,
A,E1,frequency,1,8,,0.9568235294117647,
A,E1,markov,1,8,,0.9331764705882353,
A,E1,pooled,1,8,,0.9445882352941176,
A,E1,fremen,1,8,,0.9563529411764706,
A,E2,fallback,1,8,0,1.0,
A,E2,pooled,1,8,0,1.0,
A,E2,fallback,1,8,1,0.8558823529411764,0.0
A,E2,pooled,1,8,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,1,8,2,0.9941176470588236,0.0
A,E2,pooled,1,8,2,0.9941176470588236,0.0
A,E2,fallback,1,8,3,1.0,
A,E2,pooled,1,8,3,1.0,
A,E2,fallback,1,8,4,0.47058823529411764,0.0
A,E2,pooled,1,8,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,16,,0.8972941176470588,
A,E1,modal,1,16,,0.9056470588235294,
A,E1,frequency,1,16,,0.9594117647058824,
A,E1,markov,1,16,,0.9383529411764706,
A,E1,pooled,1,16,,0.9565882352941176,
A,E1,fremen,1,16,,0.9554117647058824,
A,E2,fallback,1,16,0,1.0,
A,E2,pooled,1,16,0,1.0,
A,E2,fallback,1,16,1,0.8558823529411764,0.0
A,E2,pooled,1,16,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,1,16,2,0.9941176470588236,0.0
A,E2,pooled,1,16,2,0.9941176470588236,0.0
A,E2,fallback,1,16,3,1.0,
A,E2,pooled,1,16,3,1.0,
A,E2,fallback,1,16,4,0.47058823529411764,0.0
A,E2,pooled,1,16,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,32,,0.8752941176470588,
A,E1,modal,1,32,,0.9056470588235294,
A,E1,frequency,1,32,,0.9594117647058824,
