belief,alpha,mode,age_bin,n,n_covered,coverage,qhat,target,n_calibration,fallback_to_global
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,global,72h+,1202,718,0.597338,0.99747,0.8,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,0-6h,4947,3941,0.796644,0.073354,0.8,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,6-24h,11660,8660,0.74271,0.998915,0.8,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,24-72h,4691,3670,0.782349,0.998236,0.8,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,72h+,1202,848,0.705491,0.998448,0.8,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,0-6h,4947,4130,0.834849,0.937579,0.7,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,6-24h,11660,7433,0.637479,0.937579,0.7,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,24-72h,4691,2273,0.484545,0.937579,0.7,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,72h+,1202,511,0.425125,0.937579,0.7,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,0-6h,4947,3509,0.709319,0.02825,0.7,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,6-24h,11660,7452,0.639108,0.940641,0.7,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,24-72h,4691,3204,0.68301,0.996757,0.7,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,72h+,1202,710,0.590682,0.997296,0.7,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,0-6h,4947,4013,0.811199,0.117829,0.6,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,6-24h,11660,6489,0.556518,0.117829,0.6,12053,
